"PROVINCIA","COMUNE","LOCALITA","TIPOLOGIA","TIPOLOGIA SECONDARIA" ,"DENOMINAZIONE","INDIRIZZO","NUMERO CIVICO","INTERNO","CAP","TELEFONO","FAX","EMAIL","SITO WEB","ZONA" ,"PISCINA","PISCINA COPERTA","RISTORANTE","PARCHEGGIO","SALA CONFERENZE","ARIA CONDIZIONATA","GIOCHI BIMBI","SAUNA","SOLARIUM","FITNESS","ANIMALI AMMESSI","CENTRO STORICO","ZONA FIERA","LAGO","AEROPORTO","AUTOSTRADA","IMPIANTI RISALITA","STAZIONE FS","MARE","TERMALE","PERIFERIA","COLLINARE","INGLESE","FRANCESE","TEDESCO","SPAGNOLO","CHIUSURA TEMPORANEA" ,"CODICE IDENTIFICATIVO","DATA ULTIMA MODIFICA","CLASSIFICAZIONE"
"BELLUNO","ALANO DI PIAVE","","BED AND BREAKFAST","","CASA FRANCESCA","Via Brigata Re","7","","32031","0439779719 - 3385298038","0439788280","francesca_rech@yahoo.it","www.casafrancesca.info","belluno-feltre-alpago","Falso","Falso","Falso","Vero","Falso","Falso","Vero","Falso","Falso","Falso","Vero","Vero","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Vero","Vero","Falso","Falso","Falso",1290,"01/03/2021","2 Leoni"
"BELLUNO","ALANO DI PIAVE","","BED AND BREAKFAST","","EZIO'S B&B","Piazza Cav. Licini","2","","32031","+39 0439 779125","","info@pizzeriadaezio.it","www.pizzeriadaezio.it","belluno-feltre-alpago","Falso","Falso","Vero","Vero","Falso","Vero","Falso","Falso","Falso","Falso","Vero","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Vero","Vero","Falso","Falso","Falso","Falso",61340,"01/03/2021","2 Leoni"
"BELLUNO","ALANO DI PIAVE","","CASA PER FERIE","","ISTITUTO SAN VINCENZO","VIA CONTI FRANZOIA","2","","32031","","","SERVIZISANVINCENZO@GMAIL.COM","","belluno-feltre-alpago","Falso","Falso","Falso","Vero","Falso","Vero","Falso","Falso","Falso","Falso","Falso","Vero","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Vero","Vero","Falso","Falso","Falso","Falso",253025,"31/07/2018","3 Leoni"
"BELLUNO","ALLEGHE","","ALBERGO","Albergo","ALLE ALPI","Piazza Kennedy","26","","32022","0437523310","0437723723","info@allealpihotel.com","www.allealpihotel.com","dolomiti","Falso","Falso","Vero","Vero","Falso","Falso","Falso","Falso","Falso","Falso","Vero","Vero","Falso","Falso","Falso","Falso","Vero","Falso","Falso","Falso","Falso","Falso","Vero","Vero","Vero","Falso","Falso",3902,"14/01/2021","3 ***"
"BELLUNO","ALLEGHE","","ALBERGO","Albergo","ALLEGHE","Corso Italia","21","","32022","0437523527","0437523539","alleghe@dolomiti.com","www.hotelalleghe.com","dolomiti","Falso","Falso","Vero","Vero","Falso","Falso","Vero","Vero","Falso","Falso","Vero","Falso","Falso","Falso","Falso","Falso","Vero","Falso","Falso","Falso","Falso","Falso","Vero","Vero","Vero","Falso","Falso",3895,"10/02/2021","3 ***"
"BELLUNO","ALLEGHE","","ALBERGO","Albergo","ALPENROSE","Via Coldai","85","","32022","0437723929","","info@hotelalpenrosedolomiti.it","www.hotelalpenrosedolomiti.it","dolomiti","Falso","Falso","Vero","Vero","Falso","Falso","Falso","Vero","Falso","Falso","Vero","Falso","Falso","Falso","Falso","Falso","Vero","Falso","Falso","Falso","Falso","Falso","Vero","Falso","Vero","Falso","Falso",3903,"02/11/2020","3 ***"
"BELLUNO","ALLEGHE","","ALBERGO","Albergo","CENTRALE","Piazza Kennedy","1","","32022","0437523476","0437523476","info@hotelcentralealleghe.com","www.hotelcentralealleghe.com","dolomiti","Falso","Falso","Vero","Vero","Falso","Falso","Vero","Vero","Falso","Falso","Falso","Vero","Falso","Vero","Falso","Falso","Vero","Falso","Falso","Falso","Falso","Falso","Vero","Falso","Vero","Falso","Falso",3896,"24/08/2020","3 ***"
"BELLUNO","ALLEGHE","","ALBERGO","Albergo","COLDAI","Via Coldai","13","","32022","0437523305 - 0437523354","0437523438","coldai@dolomiti.com","www.holecoldai.com","dolomiti","Falso","Falso","Vero","Vero","Falso","Falso","Vero","Falso","Falso","Falso","Falso","Vero","Falso","Vero","Falso","Falso","Vero","Falso","Falso","Falso","Falso","Falso","Vero","Vero","Vero","Falso","Falso",3897,"13/04/2021","3 ***"
"BELLUNO","ALLEGHE","","ALBERGO","Albergo","ESPERIA","Via Lungo Lago","6/A","","32022","0437723679","0437525056","garniesperia@virgilio.it","www.hotelgarniesperia.it","dolomiti","Falso","Falso","Falso","Vero","Falso","Falso","Falso","Falso","Falso","Falso","Vero","Vero","Falso","Vero","Falso","Falso","Vero","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Vero","Falso","Falso",3906,"14/04/2021","2 **"
"BELLUNO","ALLEGHE","","ALBERGO","Albergo","GARNI' CHIARA","Corso Italia","23","","32022","0437523301","0437523301","info@garnichiara.it","www.garnichiara.it","dolomiti","Falso","Falso","Falso","Vero","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Vero","Falso","Falso","Falso","Falso","Vero","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Vero","Falso","Falso",3904,"14/04/2021","3 ***"
"BELLUNO","ALLEGHE","","ALBERGO","Albergo","GARNI' LA NAVA","Corso Italia","43","","32022","0437523340","","garnilanava@gmail.com","","dolomiti","Falso","Falso","Falso","Vero","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Vero","Falso","Vero","Falso","Falso","Vero","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Vero","Falso","Falso",3909,"15/03/2021","2 **"
"BELLUNO","ALLEGHE","","ALBERGO","Albergo","SPORT HOTEL EUROPA - (temp. chiusa) ","Via Europa","10","","32022","0437523362 - 0437523520","0437723906","info@sporthoteleuropa.com","www.sporthoteleuropa.com","dolomiti","Falso","Falso","Vero","Vero","Falso","Falso","Vero","Vero","Falso","Falso","Falso","Vero","Falso","Vero","Falso","Falso","Vero","Falso","Falso","Falso","Falso","Falso","Vero","Vero","Vero","Vero","Vero",3900,"03/02/2021","4 ****"
"BELLUNO","ALLEGHE","","ALBERGO","Albergo","VALGRANDA","Corso Italia","15","","32022","0437523342","0437525112","albergovalgranda@gmail.com","www.albergovalgranda.com","dolomiti","Falso","Falso","Vero","Vero","Falso","Falso","Falso","Falso","Falso","Falso","Vero","Falso","Falso","Falso","Falso","Falso","Vero","Falso","Falso","Falso","Falso","Falso","Vero","Falso","Vero","Falso","Falso",3901,"01/12/2020","3 ***"
"BELLUNO","ALLEGHE","","APPARTAMENTI VACANZE","","APPARTAMENTI ESPERIA 1 -2","Via Lungolago","2/A","","32022","+39 (0)437 72 36 79","+39 (0)437 52 50 56","garniesperia@virgilio.it","www.hotelgarniesperia.it","dolomiti","Falso","Falso","Falso","Vero","Falso","Falso","Falso","Falso","Falso","Falso","Vero","Falso","Falso","Vero","Falso","Falso","Vero","Falso","Falso","Falso","Falso","Falso","Vero","Falso","Vero","Falso","Falso",105122,"31/08/2020","2 Leoni"
"BELLUNO","ALLEGHE","","APPARTAMENTI VACANZE","","APPARTAMENTI REGINA","Corso Venezia","13","DA N. 1 A N. 16 E DA N. 18 A N. 21","32022","0437723805","0437723828","alleghe@dolomitissime.com","","dolomiti","Falso","Falso","Falso","Vero","Falso","Falso","Falso","Falso","Falso","Falso","Vero","Falso","Falso","Vero","Falso","Falso","Vero","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso",7322,"24/03/2021","2 Leoni"
"BELLUNO","ALLEGHE","","APPARTAMENTI VACANZE","","APPARTAMENTI VACANZE EUROPA","via Europa","15","","32022","","","appartamentieuropa@gmail.com","","dolomiti","Falso","Falso","Falso","Vero","Falso","Falso","Vero","Falso","Falso","Falso","Vero","Falso","Falso","Vero","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso",275187,"24/02/2021","2 Leoni"
"BELLUNO","ALLEGHE","","APPARTAMENTI VACANZE","","CASA CIVETTA","Via Lungo Lago","2","","32022","+39 (0)437 72 36 96 - +39 328 86 52 47 2","","appartamentiriva@gmail.com","www.appartamentialleghe.com/fam.riva","dolomiti","Falso","Falso","Falso","Vero","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Vero","Falso","Vero","Falso","Falso","Vero","Falso","Falso","Falso","Falso","Falso","Vero","Falso","Falso","Falso","Falso",105182,"31/08/2020","2 Leoni"
"BELLUNO","ALLEGHE","","APPARTAMENTI VACANZE","","CASA ROSA","piazza Kennedy","19","","32022","+39 (0)437 72 36 96 - +39 328 86 52 47 2","","appartamentiriva@gmail.com","www.appartamentialleghe.com/fam.riva","dolomiti","Falso","Falso","Falso","Vero","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Vero","Falso","Vero","Falso","Falso","Vero","Falso","Falso","Falso","Falso","Falso","Vero","Falso","Falso","Falso","Falso",105142,"31/08/2020","2 Leoni"
"BELLUNO","ALLEGHE","","APPARTAMENTI VACANZE","","REGINATO FLORA ANTONIA - APPARTAMENTI VACANZE","Via Coldai","6","1-2","32022","+39 349 35 39 76 5","","anticadimoraalleghe@gmail.com","","dolomiti","Falso","Falso","Falso","Vero","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Vero","Falso","Falso","Falso","Falso","Vero","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso",7325,"31/08/2020","2 Leoni"
"BELLUNO","ALLEGHE","","BED AND BREAKFAST","","B & B GIOLAI ELIO","Via De Gasperi","55","","32022","0437723603","","bbgiolaiinfo@gmail.com","","dolomiti","Falso","Falso","Falso","Vero","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Vero","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Vero","Falso","Falso",1292,"16/06/2020","2 Leoni"
"BELLUNO","ALLEGHE","","CAMERE","","ALLOGGI TURISTICI VALGRANDA","Corso Italia","16/B","","32022","0039(0)437523342","0039(0)437525112","albergovalgranda@gmail.com","www.albergovalgranda.netsons.org","dolomiti","Falso","Falso","Falso","Vero","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Vero","Falso","Falso","Falso","Falso","Falso","Vero","Falso","Vero","Falso","Falso",567,"18/09/2020","3 Leoni"
"BELLUNO","ALLEGHE","","CAMERE","","ANTICA DIMORA","Via Coldai","6","","32022","+39 349 35 39 76 5","+39 (o)437 72 37 51","anticadimoraalleghe@gmail.com","www.anticadimoraalleghe.com","dolomiti","Falso","Falso","Falso","Vero","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Vero","Falso","Falso","Falso","Falso","Vero","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso",569,"18/09/2020","2 Leoni"
"BELLUNO","ALLEGHE","","RIFUGIO","Rifugio alpino","ATTILIO TISSI AL COL REAN","Località Col Rean","","","32022","0039(0)437721644 - 00393474343948","","rifugio.tissi@gmail.com","","dolomiti","Falso","Falso","Vero","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Vero","Falso","Vero","Falso","Falso",191,"29/10/2020",""
"BELLUNO","ALPAGO","","ALBERGO","Albergo","ALBERGO CASA SPERTI","Piazza Martiri per la Libertà","1","","32016","0437 432108","0437 433014","albergo@casasperti.it","www.casasperti.it","belluno-feltre-alpago","Falso","Falso","Falso","Vero","Falso","Falso","Falso","Falso","Falso","Falso","Vero","Vero","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Vero","Vero","Falso","Falso","Vero",4134,"22/10/2020","1 *"
"BELLUNO","ALPAGO","","ALBERGO","Albergo","ALLA SPIAGGIA","Viale al Lago","","","32010","04374238","","info@albergoallaspiaggia.com","www.albergoallaspiaggia.com","belluno-feltre-alpago","Falso","Falso","Vero","Vero","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Vero","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Vero","Falso","Falso","Falso",4128,"05/03/2021","1 *"
"BELLUNO","ALPAGO","","ALBERGO","Albergo","ALPAGO","Viale Alpago","29","","32015","04374201","04374201","info@albergoalpago.com","www.albergoalpago.com","belluno-feltre-alpago","Falso","Falso","Falso","Vero","Falso","Falso","Vero","Falso","Falso","Falso","Falso","Falso","Falso","Vero","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Vero","Falso","Vero","Falso","Falso",4255,"05/03/2021","2 **"
"BELLUNO","ALPAGO","","ALBERGO","Albergo","BEYROUTH","Via P. Brida","14","","32010","0437478056","0437447098","albergobeyrouth@gmail.com","","belluno-feltre-alpago","Falso","Falso","Vero","Vero","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Vero","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso",4233,"14/04/2021","2 **"
"BELLUNO","ALPAGO","","ALBERGO","Albergo","BORTOLUZZI","Via Matteotti","1","","32010","04374280","0437454721","albergo.bortoluzzi@gmail.com","www.albergobortoluzzi@gmail.com","belluno-feltre-alpago","Falso","Falso","Vero","Vero","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Vero","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Vero","Falso","Falso","Falso",4131,"14/04/2021","1 *"
"BELLUNO","ALPAGO","","ALBERGO","Albergo","DA BEIO","Viale Alpago","150/152","","32015","0437 454320","","dolomiedabeio@gmail.com","","belluno-feltre-alpago","Falso","Falso","Vero","Vero","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Vero","Falso","Vero","Falso","Falso","Falso","Falso","Falso","Falso","Vero","Vero","Vero","Falso","Falso",4256,"08/03/2021","1 *"
"BELLUNO","ALPAGO","","ALBERGO","Albergo","DAL COGO","Località Spert","9","","32010","3517515891","","albergodalcogo@gmail.com","","belluno-feltre-alpago","Falso","Falso","Vero","Vero","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Vero","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Vero","Vero","Falso","Falso","Falso",4126,"15/03/2021","2 **"
"BELLUNO","ALPAGO","","ALBERGO","Albergo","DOLADA","Via Dolada","21","","32010","0437479141","0437478068","info@dolada.it","www.dolada.it","belluno-feltre-alpago","Falso","Falso","Vero","Vero","Falso","Falso","Falso","Falso","Falso","Falso","Vero","Vero","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Vero","Vero","Vero","Falso","Falso",4232,"14/04/2021","3 ***"
"BELLUNO","ALPAGO","","ALBERGO","Albergo","LOCANDA SAN LORENZO","Via IV Novembre","79","","32015","0437454048","","info@locandasanlorenzo.it","www.locandasanlorenzo.it","belluno-feltre-alpago","Falso","Falso","Vero","Vero","Falso","Falso","Falso","Falso","Falso","Falso","Vero","Vero","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Vero","Vero","Vero","Falso","Falso",4254,"03/02/2021","3 ***"
"BELLUNO","ALPAGO","","ALBERGO","Albergo","MEUBLE' DA GUERRINO","Via Trieste","13","","32010","0437454544","0437454444","FABIOFACCHIN@YMAIL.COM","","belluno-feltre-alpago","Falso","Falso","Falso","Vero","Falso","Falso","Falso","Falso","Falso","Falso","Vero","Vero","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Vero","Falso","Falso","Falso",4132,"02/09/2020","1 *"
"BELLUNO","ALPAGO","","BED AND BREAKFAST","","AI SBARAI - (temp. chiusa) ","Via Matteotti","89/6A","","32016","+39 0437 451064 - +39 338 198 5055","","claudioconcato@gmail.com","","belluno-feltre-alpago","Falso","Falso","Falso","Vero","Falso","Falso","Vero","Falso","Falso","Falso","Vero","Falso","Falso","Vero","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Vero","Falso","Falso","Falso","Vero",49470,"18/01/2021","2 Leoni"
"BELLUNO","ALPAGO","","BED AND BREAKFAST","","AL GINKGO","via S.Lucia","33","","32010","+39 347 3039 296","","lorena.sommavilla@libero.it","www.alginkgo.altervista.org","belluno-feltre-alpago","Falso","Falso","Falso","Vero","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Vero","Falso","Falso","Falso","Falso","Falso","Vero","Vero","Falso","Vero","Falso","Falso",51643,"21/10/2020","3 Leoni"
"BELLUNO","ALPAGO","","BED AND BREAKFAST","","B & B VILLA AL LAGO","via Santa Croce al Lago","33","","32016","+ 39 338 5230 255","","info@villaallago.it","www.villaallago.it","belluno-feltre-alpago","Falso","Falso","Falso","Vero","Falso","Falso","Falso","Falso","Falso","Falso","Vero","Vero","Falso","Vero","Falso","Vero","Falso","Vero","Falso","Falso","Falso","Vero","Vero","Falso","Falso","Vero","Falso",28301,"14/09/2020","3 Leoni"
"BELLUNO","ALPAGO","","BED AND BREAKFAST","","B&B ALPAGATTO","via Grava - loc. Bastia di Puos","12","","32016","+39 347 768 5841","","alpagatto@gmail.com","","belluno-feltre-alpago","Falso","Falso","Falso","Vero","Falso","Falso","Vero","Falso","Falso","Falso","Vero","Falso","Falso","Vero","Falso","Vero","Falso","Falso","Falso","Falso","Falso","Falso","Vero","Vero","Falso","Falso","Falso",280722,"14/09/2020","3 Leoni"
"BELLUNO","ALPAGO","","BED AND BREAKFAST","","B&B IL MAGGIOLINO","via Montecavallo","98","","32015","+39 3470172127","","ovalino@hotmail.it","","belluno-feltre-alpago","Falso","Falso","Falso","Vero","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Vero","Falso","Falso","Falso","Falso","Falso","Vero","Vero","Falso","Vero","Vero","Falso",51909,"10/07/2020","2 Leoni"
"BELLUNO","ALPAGO","","BED AND BREAKFAST","","LA CASA DEI LEN","Via G. de Felip - fraz. Torres","40","","32010","+39 0437 478 091 - +39 348 9382 822","+39 0437 478 091","info@lacasadeilen.it","","belluno-feltre-alpago","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Vero","Vero","Vero","Vero","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Vero","Falso","Falso","Falso","Falso",1500,"31/08/2020","2 Leoni"
"BELLUNO","ALPAGO","","BED AND BREAKFAST","","SOLE & LUNA","Viale al Lago","11","","32016","+39 0437 4238","","info@albergoallaspiaggia.com","","belluno-feltre-alpago","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Vero","Falso","Falso","Vero","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Vero","Falso","Falso","Falso","Falso",46241,"11/09/2020","2 Leoni"
"BELLUNO","ALPAGO","","CAMERE","","AFFITTACAMERE CASA VITTORIA","via Alemagna - Fraz. Santa Croce","22","","32016","+39 348 266 1459","","affittacamerecasavittoria@yahoo.com","","belluno-feltre-alpago","Falso","Falso","Falso","Vero","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Vero","Falso","Vero","Falso","Vero","Falso","Vero","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso",303785,"21/10/2019","2 Leoni"
"BELLUNO","ALPAGO","","CAMERE","","BELLAVISTA","Via Pianture","22/A","","32010","0039(0)43746892","0039(0)43746892","rist.bellavista@gmail.com","","belluno-feltre-alpago","Falso","Falso","Vero","Vero","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Vero","Vero","Vero","Falso","Falso",598,"18/09/2020","2 Leoni"
"BELLUNO","ALPAGO","","CAMERE","","CAROTA","Loc. Carota","9","","32010","+39 (0)437 47 80 33","","rifugiocarota@gmail.com","","belluno-feltre-alpago","Falso","Falso","Vero","Vero","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Vero","Falso","Falso","Falso","Falso","Falso",110962,"18/09/2020","2 Leoni"
"BELLUNO","ALPAGO","","CAMPEGGIO","Campeggio","SARATHEI","Viale al Lago","13","","32016","+39 (0)437 45 49 37","+39 (0)437 45 49 37","info@sarathei.it","www.sarathei.it","belluno-feltre-alpago","Falso","Falso","Vero","Falso","Falso","Falso","Vero","Falso","Falso","Falso","Vero","Falso","Falso","Vero","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Vero","Falso","Falso","Falso","Falso",2679,"10/06/2021","2 **"
"BELLUNO","ALPAGO","","LOCANDA","","LOCANDA CAPRIOLO","Via Pian Osteria","5","","32010","+39 0437 472026","+39 0437 472026","lucapriolo@gmail.com","www.locandaalcapriolo.com","belluno-feltre-alpago","Falso","Falso","Vero","Vero","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Vero","Falso","Falso","Falso",599,"18/09/2020","2 Leoni"
"BELLUNO","ALPAGO","","RIFUGIO","Rifugio escursionistico","CASA VALLORCH","via dei Cimbri","6","","32016","+39 (O)438 17 36 48 8","","lupigufiecivette@gmail.com","","belluno-feltre-alpago","Falso","Falso","Vero","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Vero","Falso","Falso","Vero","Falso",56422,"30/10/2020",""
"BELLUNO","ALPAGO","","RIFUGIO","Rifugio escursionistico","DOLOMIEU AL DOLADA","Località Pian de Guera","","","32010","+39 (0)437 47 80 48- 338 47 75 46 8","","maurooliva1973@gmail.com","www.rifugiodolada.it","belluno-feltre-alpago","Falso","Falso","Vero","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Falso","Vero","Falso","Falso","Falso","Falso",262,"30/10/2020",""
